"","X","RID","activity","ResponseId","Rank","Question","activity_orig","activity_grammarfix","activity_standard1","activity_standard2"
"1","3","1","hike","r_3liiunmei2baqjr","1","q1_1","hike","hike","hike","hike"
"2","4","2","hike","r_3p4y1yt6ekugmsc","1","q1_1","hike","hike","hike","hike"
"3","5","3","hike","r_3ea2tgiky0ofqxb","1","q1_1","hike","hike","hike","hike"
"4","6","4","hike","r_3hictn8yjn1yo4l","1","q1_1","hike","hike","hike","hike"
"5","7","5","hike","r_ugznbbd7yj691ob","1","q1_1","hike","hike","hike","hike"
"6","8","6","walk","r_12qqwffhvgmswpq","1","q1_1","walk","walk","walk","walk"
"7","9","7","hike","r_3efppnrlouhd5pk","1","q1_1","hike","hike","hike","hike"
"8","10","8","hike","r_2pvjyyb5r2wj9an","1","q1_1","hike","hike","hike","hike"
"9","11","9","hiking","r_1i6qx57pqmtblsn","1","q1_1","hiking","hike","hike","hike"
"10","12","10","hike","r_3dbaw4wphgexpgd","1","q1_1","hike","hike","hike","hike"
"11","13","11","hike","r_1y6yokjl9s7qyb7","1","q1_1","hike","hike","hike","hike"
"12","14","12","eat","r_3dd31lex4lyrw2k","1","q1_1","eat","eat","eat","eat"
"13","15","13","hike","r_x5uuymhdhdqlpvn","1","q1_1","hike","hike","hike","hike"
"14","16","14","hike","r_ahlftwixg0yunkx","1","q1_1","hike","hike","hike","hike"
"15","17","15","hike","r_1esdqbkleiofqnj","1","q1_1","hike","hike","hike","hike"
"16","18","16","ride","r_3fvt1jtpnwwli3r","1","q1_1","ride","ride","ride","ride"
"17","19","17","biking","r_07iquoi9w6ksgzl","1","q1_1","biking","bike","bike","bike"
"18","20","18","ride mountain bikes","r_1qa57dvcrwvmc2d","1","q1_1","ride mountain bikes","mountain bike","mountain bike","mountain bike"
"19","21","19","observe flowers","r_21umi5b55ecqsma","1","q1_1","observe flowers","observe wildflowers","view wildflowers","view wildflowers"
"20","22","20","observe wildlife","r_2siatildtpieykd","1","q1_1","observe wildlife","observe wildlife","view wildlife","view wildlife"
"21","23","21","walk","r_3ezefq2fqinib0i","1","q1_1","walk","walk","walk","walk"
"22","24","22","hike","r_24fsnscdxh9q8tl","1","q1_1","hike","hike","hike","hike"
"23","25","23","hike","r_2afsqeu0xfixosm","1","q1_1","hike","hike","hike","hike"
"24","26","24","mountain bike","r_2ueytc7prrqpqda","1","q1_1","mountain bike","mountain bike","mountain bike","mountain bike"
"25","27","25","bicycle","r_egm7eah0tiyaskp","1","q1_1","bicycle","bike","bike","bike"
"26","28","26","mountain bike","r_29ojwmw0gknszlg","1","q1_1","mountain bike ","mountain bike","mountain bike","mountain bike"
"27","29","27","hike","r_2psvw6crcwb2plq","1","q1_1","hike","hike","hike","hike"
"28","30","28","mountain biking","r_2wipcfxjyd2f87v","1","q1_1","mountain biking","mountain bike","mountain bike","mountain bike"
"29","31","29","mountain bike","r_1lyjvsrjqzugggm","1","q1_1","mountain bike","mountain bike","mountain bike","mountain bike"
"30","32","30","mountain bike","r_tjesougdwzgrzeb","1","q1_1","mountain bike ","mountain bike","mountain bike","mountain bike"
"31","33","31","cycling","r_3pd9qhpgb9iceae","1","q1_1","cycling ","bike","bike","bike"
"32","34","32","hike","r_rk8kfhrz69bigbx","1","q1_1","hike","hike","hike","hike"
"33","36","34","hike","r_1dmfj9yd0wqo5by","1","q1_1","hike","hike","hike","hike"
"34","37","35","hike","r_3pmqtyv9eml1zjz","1","q1_1","hike","hike","hike","hike"
"35","39","37","walk pets","r_6wdcxkejs81ckun","1","q1_1","walk pets","walk pets","walk pets","walk pets"
"36","40","38","hike","r_0ms776vygqsci9z","1","q1_1","hike","hike","hike","hike"
"37","41","39","hike","r_1g58egrmtuwljte","1","q1_1","hike","hike","hike","hike"
"38","42","40","ride bikes","r_3luzk4l8ii5gb5e","1","q1_1","ride bikes","bike","bike","bike"
"39","43","41","hike","r_3j1jx6whpf558y1","1","q1_1","hike","hike","hike","hike"
"40","44","42","hike","r_zn3lwvbwvajo67d","1","q1_1","hike","hike","hike","hike"
"41","45","43","hiking","r_3e3lsavrcrjmuzo","1","q1_1","hiking","hike","hike","hike"
"42","46","44","hike","r_3pztiialnfyakkw","1","q1_1","hike","hike","hike","hike"
"43","47","45","hike","r_qxvyhdsx46czonf","1","q1_1","hike","hike","hike","hike"
"44","48","46","hike","r_2enti0blihaswj7","1","q1_1","hike","hike","hike","hike"
"45","49","47","hike","r_9zexvyo6zfxnp8t","1","q1_1","hike","hike","hike","hike"
"46","50","48","hike","r_21bjlht0eq6xpvg","1","q1_1","hike","hike","hike","hike"
