activity_grammarfix,n,consolidated_round1,consolidated_round1_cc,consolidated_round2,consolidated_round3,consolidated_round4,consolidated_round5,consolidated_round6,consolidated_round7,consolidated_final,consolidated_final_cc,themes_cc
hike,390,hiking,hiking,hiking,nature tourism ,nature tourism ,nature tourism ,nature tourism ,nature tourism ,nature tourism,recreation,human centered
ride horses,266,equestrian,equestrian,equestrian,equestrian,equestrian,equestrian,equestrian,equestrian,equestrian,recreation,human centered
bike,216,biking,biking,biking,recreation,recreation,recreation,recreation,recreation,recreation,recreation,human centered
run,184,run,run,fitness,fitness,fitness,self-development,self-development,self-development,self-development,self-development,human centered
bird watch,141,bird watching,bird watching,bird watching,nature tourism ,nature tourism ,nature tourism ,nature tourism ,nature tourism ,nature tourism,nature study/observation,nature centered
photography,121,photography,photography,photography,nature tourism ,nature tourism ,nature tourism ,nature tourism ,nature tourism ,nature tourism,nature tourism,nature centered
walk pets,97,walk pets,walk pets,time with pets,time with pets,time with pets,time with pets,time with pets,time with pets,pet-related activity,leisure,human centered
walk,95,walk,walk,walk,leisure activity ,leisure activity ,leisure activity ,leisure activity ,leisure activity ,leisure,leisure,human centered
camp,92,camp,camp,camp,nature tourism ,nature tourism ,nature tourism ,nature tourism ,nature tourism ,nature tourism,nature tourism,nature centered
mountain bike,92,biking,biking,biking,recreation,recreation,recreation,recreation,recreation,recreation,recreation,human centered
exercise,79,exercise,exercise,fitness,fitness,fitness,self-development,self-development,self-development,self-development,self-development,human centered
backpack,59,backpack,backpack,backpack,nature tourism ,nature tourism ,nature tourism ,nature tourism ,nature tourism ,nature tourism,nature tourism,nature centered
view wildlife,48,view wildlife,view wildlife,view wildlife,view wildlife,enjoying nature ,enjoying nature ,enjoying nature ,enjoying nature ,enjoying nature,nature study/observation,nature centered
fish,45,fish,fishing,fish,nature tourism ,nature tourism ,nature tourism ,nature tourism ,nature tourism ,nature tourism,recreation,human centered
snowshoe,41,snowshoe,snowshoe,snowshoe,recreation ,recreation ,recreation ,recreation ,recreation ,recreation,recreation,human centered
hunt,40,hunt,hunting,hunt,nature tourism ,nature tourism ,nature tourism ,nature tourism ,nature tourism ,nature tourism,recreation,human centered
relax,36,relax,relax,relax,relax,relax,mental wellbeing,mental wellbeing,mental wellbeing,relaxation,leisure,human centered
bicycle,35,biking,biking,biking,recreation,recreation,recreation,recreation,recreation,recreation,recreation,human centered
cross country ski,35,ski,ski,non-equestrian sports,non-equestrian sports,non-equestrian sports,non-equestrian sports,non-equestrian sports,non-equestrian sports,recreation,recreation,human centered
picnic,34,picnic,picnic,picnic,leisure activity ,leisure activity ,leisure activity ,leisure activity ,leisure activity ,leisure,leisure,human centered
ski,29,ski,ski,non-equestrian sports,non-equestrian sports,non-equestrian sports,non-equestrian sports,non-equestrian sports,non-equestrian sports,recreation,recreation,human centered
trail run,28,run,run,run,run,run,run,recreation,recreation,recreation,self-development,human centered
enjoy nature,26,enjoy nature,enjoy nature,enjoy nature,enjoy nature,enjoying nature ,enjoying nature ,enjoying nature ,enjoying nature ,enjoying nature,nature tourism,nature centered
meditate,26,meditate,meditate,meditate,meditate,meditate,mental wellbeing,mental wellbeing,mental wellbeing,relaxation,self-development,human centered
socialize,24,socialize,socialize,socialize,socialize,socialize,socialize,socialize,socialize,companionship,leisure,human centered
eat,21,eating,eating,eating,eating,eating,food/drink-related,food/drink-related,food/drink-related,food/drink-related activity,leisure,human centered
jog,21,jog,jog,fitness,fitness,fitness,self-development,self-development,self-development,self-development,self-development,human centered
plant identification,21,plant identification,plant identification,plant identification,plant identification,studying nature,studying nature,studying nature,studying nature,nature study/observation,nature study/observation,nature centered
